,name,time,count,queue
0,db_server,13.624250155630621,2,1
1,db_server,17.275330976598703,2,1
0,load_balancer,18.102732266759965,2,0
0,load_balancer2,18.972039897091463,2,0
2,db_server,23.62425015563062,2,2
1,load_balancer,24.982038914358203,2,0
1,load_balancer2,25.650329557041324,2,0
3,db_server,27.275330976598703,2,2
2,load_balancer2,31.770040544590465,2,0
2,load_balancer,31.881087597299484,2,0
4,db_server,33.62425015563062,2,3
5,db_server,37.2753309765987,2,3
3,load_balancer2,38.4558487464044,2,0
3,load_balancer,38.81733980181943,2,0
6,db_server,43.62425015563062,2,5
4,load_balancer2,45.192128754301315,2,0
4,load_balancer,45.722738475349075,2,0
7,db_server,47.2753309765987,2,5
