,name,time,count,queue
0,db_server,13.12580277873318,2,1
1,db_server,17.08466488425669,2,2
0,load_balancer,18.73337788603088,2,0
0,load_balancer2,18.733846535182803,2,0
2,db_server,23.12580277873318,2,3
1,load_balancer2,24.74558242830244,2,0
1,load_balancer,24.96338016922686,2,0
3,db_server,27.08466488425669,2,3
2,load_balancer2,31.107790962240877,2,0
2,load_balancer,31.518070626868685,2,0
4,db_server,33.12580277873318,2,4
5,db_server,37.08466488425669,2,3
3,load_balancer2,37.320376106169526,2,0
3,load_balancer,38.41967295467134,2,0
6,db_server,43.12580277873318,2,5
4,load_balancer2,44.05499564763629,2,0
4,load_balancer,44.93982913650431,2,0
7,db_server,47.08466488425669,2,4
5,load_balancer2,50.18864010116572,2,0
5,load_balancer,51.10571835239444,2,0
8,db_server,53.12580277873318,2,6
6,load_balancer2,56.64941393214756,2,0
9,db_server,57.08466488425669,2,7
6,load_balancer,57.51569349887453,2,0
10,db_server,63.12580277873318,2,8
7,load_balancer2,63.61975791667393,2,0
7,load_balancer,63.77606617366149,2,0
11,db_server,67.08466488425668,2,9
8,load_balancer2,69.80082654372352,2,0
8,load_balancer,70.58979040469124,2,0
12,db_server,73.12580277873317,2,9
9,load_balancer2,76.2752709153281,2,0
9,load_balancer,76.7694084657998,2,0
13,db_server,77.08466488425668,2,10
10,load_balancer2,82.61869989476351,2,0
10,load_balancer,82.81973923469262,2,0
14,db_server,83.12580277873317,2,10
15,db_server,87.08466488425668,2,11
11,load_balancer,89.37916032608346,2,0
11,load_balancer2,89.4046152426898,2,0
16,db_server,93.12580277873317,2,11
12,load_balancer2,95.52418033257422,2,0
12,load_balancer,95.62085919482159,2,0
17,db_server,97.08466488425668,2,12
13,load_balancer2,102.17793623913354,2,0
13,load_balancer,102.3295425587989,2,0
18,db_server,103.12580277873317,2,12
19,db_server,107.08466488425668,2,13
14,load_balancer2,108.42364011758481,2,0
14,load_balancer,108.69444803443906,2,0
20,db_server,113.12580277873317,2,14
15,load_balancer2,115.41546189928147,2,0
15,load_balancer,115.65105581344199,2,0
21,db_server,117.08466488425668,2,14
16,load_balancer2,121.57677511703365,2,0
16,load_balancer,121.86114695188392,2,0
22,db_server,123.12580277873317,2,15
23,db_server,127.08466488425668,2,16
17,load_balancer2,127.57724564412534,2,0
17,load_balancer,128.29903697396418,2,0
24,db_server,133.12580277873317,2,17
18,load_balancer2,133.62245217259792,2,0
18,load_balancer,134.91084657737187,2,0
25,db_server,137.08466488425668,2,18
19,load_balancer2,139.7786752883903,2,0
19,load_balancer,141.70324640335159,2,0
26,db_server,143.12580277873317,2,18
20,load_balancer2,146.4528796216084,2,0
27,db_server,147.08466488425668,2,18
20,load_balancer,148.35050566329886,2,0
21,load_balancer2,152.91949402479145,2,0
28,db_server,153.12580277873317,2,20
21,load_balancer,155.19486576638968,2,0
29,db_server,157.08466488425668,2,20
22,load_balancer2,159.24904138552154,2,0
22,load_balancer,161.82806940946017,2,0
30,db_server,163.12580277873317,2,21
23,load_balancer2,166.20229635134802,2,0
31,db_server,167.08466488425668,2,21
23,load_balancer,168.72728361593343,2,0
24,load_balancer2,172.96454265572956,2,0
32,db_server,173.12580277873317,2,22
24,load_balancer,174.79487572789856,2,0
33,db_server,177.08466488425668,2,22
25,load_balancer2,179.83250105682845,2,0
25,load_balancer,181.2193899526505,2,0
34,db_server,183.12580277873317,2,23
26,load_balancer2,186.27926474469112,2,0
35,db_server,187.08466488425668,2,23
26,load_balancer,187.52139341925758,2,0
27,load_balancer2,192.4541968805608,2,0
36,db_server,193.12580277873317,2,24
27,load_balancer,194.40267340694214,2,0
37,db_server,197.08466488425668,2,24
28,load_balancer2,199.05781909590766,2,0
28,load_balancer,200.57979440228485,2,0
38,db_server,203.12580277873317,2,25
29,load_balancer2,205.54074703584686,2,0
39,db_server,207.08466488425668,2,25
29,load_balancer,207.45175682080315,2,0
30,load_balancer2,212.4748364943173,2,0
40,db_server,213.12580277873317,2,25
30,load_balancer,213.6532936795295,2,0
41,db_server,217.08466488425668,2,26
31,load_balancer2,219.02112219735682,2,0
31,load_balancer,220.29270065318397,2,0
42,db_server,223.12580277873317,2,27
32,load_balancer2,225.8807166046293,2,0
32,load_balancer,226.9130796621512,2,0
43,db_server,227.08466488425668,2,27
33,load_balancer2,232.53041815824585,2,0
33,load_balancer,233.02498832382935,2,0
44,db_server,233.12580277873317,2,30
45,db_server,237.08466488425668,2,31
34,load_balancer2,238.89779054459348,2,0
34,load_balancer,239.14220520336926,2,0
46,db_server,243.12580277873317,2,32
35,load_balancer,245.15771815646792,2,0
35,load_balancer2,245.8290631699142,2,0
47,db_server,247.08466488425668,2,32
